0,ground_truth,Corrupt,Shapely
a56ad00e4c3a73a466ddf94a60413955822861d335bb159723350d88b69f86a0,1,False,0.9977279766399413
74edb5ec0583a6cf215edb3fc617c9587fe973f812436e467ec8607e49aac978,1,False,0.99846078058491
kei4pRX9ENQaKFsLcOU1,1,False,0.9949256956288224
18AD5lV4StiZfN0pmdGj,1,False,0.9964944725524539
0937576ac042e79668e2fcccc1659e9675ffac0348c5c59d6575f3884fe499e3,1,True,1.0093440433883958
b86e79d422acaa9cae88fe6cb6414cb724818861b179353efb9bae475c4b9df7,1,False,0.9978145273712126
1fMQAqC26xFJIgKpkrwS,1,False,1.0030676182441263
909c9424d569e3b9dd8533259d394b1077962da6d43db6f0825abd93441a481a,1,False,1.002003129854028
i6HCJxaZV5cBzW1NUuof,1,False,1.0043151063050815
Sourceforge_3487.exe,0,False,1.0041520409134115
ikNI3YPuFznBR1ydWDK5,1,False,1.0015435523566487
1944.exe,0,False,1.0047499906532482
KakdO56B2GhiC3szw7TI,1,False,1.0058874790394041
0e3de1806def011049d011b07a3a012cecce53cac8ff49f52ecf6db96aa0dcdc,0,False,1.0008426992743698
2mNqMtbkL87il4gXBPHY,1,False,0.9972622667857997
8603599b36d2cf87bde56861029963bd9b0a0390c626e3114ffe55354c6c51d4,1,False,1.0059486252269072
aeNhGKA8io4HrFtDcq31,1,False,0.9995862923510007
55602b4029b686a7580b578c217f2d3da2de553e8d41b8630276dd5bcf231ffe,1,False,1.0036900311436354
AH3uZ7WMq6RoOyNn89kw,1,False,0.9973768946807704
55d31ce16027c980ede272d4653075b8305ba5667bbf3e5ff11314697d54f25a,0,False,1.003402066628317
Sourceforge_695.exe,0,False,1.0025204335290698
46bfd4f33a6612e9cc8ab508cb962baca5049e3c3cd96486194ae176bef87124,1,False,0.9957971980519164
CNET_21417.exe,0,False,0.9952253223381476
0b15ff1ece1fd2a2af05f5e89bc5270e7174a212ba29a5f1014006b2d75fe1f8,1,True,1.0014785396634136
554b2c240fcf2a9319218ff128b0e0598555b348b1f8965aeebdd8f62c338ab8,1,False,1.0055943735351334
AeZvV9subzRmODWTjrh0,1,False,1.0001554381914834
b64eh1R89czkGnQIFA5K,1,False,1.00192112975548
1101.exe,0,False,1.0001534061388992
Sourceforge_596.exe,0,False,1.00139887651873
CNET_234346.exe,0,False,0.9968979192414861
96e5b1bfbdff4a565f8de645a9d2edaa17f9d52f17cc01d7384bbe00594ace52,1,False,1.0056983693224661
Sourceforge_4115.exe,0,False,1.0024107838823135
28189232492f56f9dcf75cc7766dd70d5866944f3e755f4840c89f2f81d3ea23,1,False,0.9989803137242774
fBFxXAQ4LR0ENTyS91rY,1,False,0.9989525555141735
Sourceforge_318.exe,0,False,1.0035912477402484
05482830f3f256740b428ce8a0cdf68637141e7af9715bf1facb81c9b188eac4,1,False,1.002905954607735
jGbqZYOa6c8DNE4ugLTh,1,False,0.9947890947766161
auJL2IBelRMpwS7hKcmU,1,False,1.0052725220906045
17a7c321e117bb3c400bce286c7ce19454c2b3852178e47416739cfe0d855b1d,1,False,0.9954539156540976
AYVnhTKJPbW2eBjrQ3Cc,1,False,0.9939120451264873
82nLVASm1tBsdgHMvEXP,1,True,0.995966178759943
CNET_241417.exe,0,False,0.9996840829010719
1979.exe,0,True,1.001688976832137
5AycfmLjIp7NnvgS1JYW,1,False,1.0071063367457769
Sourceforge_4564.exe,0,False,0.9898876912552487
BizuIl5W3K6fAoqSZnyX,1,False,1.0092376910765195
448f6390c213c83f2f8d874047eeb80131a522a0751020a21a2e413cdb8b3675,0,False,0.9952816326723442
220be60350051d8c6e2b4fde9ded89ba539b9f2d1047a205ee3c4efd3079caf8,1,False,0.9963639445435852
857rChkgSJiFGI9Zu6Hb,1,True,0.9958185854667981
Sourceforge_3215.exe,0,True,0.9992179023156104
CNET_108126.exe,0,True,1.0020294204079805
CNET_103644.exe,0,False,0.999646825203589
Sourceforge_6544.exe,0,False,0.9987904823217015
Sourceforge_6229.exe,0,True,0.9956919283745808
ce32c8f43d3f6e3997717ebb159cfc2dcd974ef1743df754381678297b91bd30,1,False,1.0120694054795634
Sourceforge_3209.exe,0,False,1.0036450131558965
9655c635dd8e12b06850359f632d2315c8ccf9d73e742c2ea909b810a1e1b17c,1,False,0.9951183481353618
Sourceforge_4365.exe,0,True,0.9973954462983473
709.exe,0,False,0.9952740995392044
Sourceforge_396.exe,0,False,1.003053091319743
9IxlHe7TDc8iUFbGMumO,1,False,0.9970500505401031
570.exe,0,False,0.9945495826854013
35ac176aba9e60ede019df52996397f18cb7730493e01b337e61a7d2248186f5,1,False,1.000402046785928
3c941e0ddac44eee9b8f9da4b372c32bd7305a54c6380814c8d6198fadfbc298,1,False,0.9984807187304698
Sourceforge_5214.exe,0,False,0.9973531439333413
Sourceforge_2308.exe,0,False,0.9965558035191499
Sourceforge_3853.exe,0,True,1.0040991461369
b408d1437535aab5eb52b147d59272e8056375f2e90e2ccef71c062980e36b2f,1,False,1.0022483396394246
99fff9d5a8e3fc08b748c231ddf6e43c3cce95fbc3d09bc55ef4208929699198,1,False,0.9973258095646826
CSqAJat1xPWdzs8Y3mwy,1,True,1.0063039975027686
4f6596efe641b81ddd81964e33e39e6a2609a612ccede80164037d857d2529ac,1,True,0.9952383147971686
cquHZ28hReUoI4aJGKin,1,False,1.0029967301877407
51df5f6c16251f8995cf9e20fbfd1364acfe93d15306d838b8f7faf0c49e61cf,1,False,0.9994532239713528
0f3689265294b1bf13111e404849b532441bfadb6adef863f7d04d6d2d14a440,1,False,1.008047171770026
