Name,Label,Corrupted,Accuracies,Trials
6c8d469774fb237f7b63b5162585d31d0e9be81067e3ec60ca749d078e227a06,1,False,-1.0,1
fBRjLOxWbPyreYn4hvkU,1,False,-1.0,1
Sourceforge_5787.exe,0,False,1.0,1
65dea5696459ce41055d21206ee52092795aa2b93b0bf887bcae2a71dc2a6688,1,False,-1.0,1
CNET_103149.exe,0,False,1.0,1
c1536de933e06fd3832c008876559dc99dc38e3f4ec479e9512ceccb39c2f838,0,False,1.0,1
2406.exe,0,False,1.0,1
CNET_241419.exe,0,False,1.0,1
1159.exe,0,False,1.0,1
3a6f57189a5fe71eed95025289220f3eb997f23b2cd0f8e8affeb1a0bd8832ad,1,False,-1.0,1
CNET_38625.exe,0,False,1.0,1
87ed24e69017bb95c73ed7c08ab1173d808e44de8fb54ed2244fcb405923afdf,1,False,-1.0,1
gaJ3ypIsYStVcNLFXRbM,1,False,-1.0,1
12.exe,0,False,1.0,1
65fcae1fb6d6ba322a5b81629813609d07ff20c4f46ba805bc2817f565c5bab5,0,False,1.0,1
38449ed1e7c7b9f637e81a30bd1deeca0f64cea0917fc9741bcc4c7a7c24d68d,1,False,-1.0,1
cb87fb4c4945e7269496d45931237efc140d3019abc81d3b436d37a7a6418d09,1,False,-1.0,1
Sourceforge_3071.exe,0,False,1.0,1
Sourceforge_1647.exe,0,False,1.0,1
CNET_248894.exe,0,False,1.0,1
Sourceforge_46.exe,0,False,1.0,1
3188f1533bb6b1f1ddeaaccabecc28d835df6a9a5652c085cacd37824e7863fa,1,False,-1.0,1
75e41c139f5b99496ed8691d97fae65565226a48e36aa68a955473f3e6555a5a,1,False,-1.0,1
e42647afd2747ba0c5a5c2440b5a68a9f0139850782690e1f7f2abd01ff573f3,0,False,1.0,1
Sourceforge_5236.exe,0,False,1.0,1
f27a13f30a0a62d0b81b0dfc84a64023210e2dc420083ff862af9a1ba51702cd,1,False,-1.0,1
Sourceforge_552.exe,0,False,1.0,1
9311bad9543d0cd73689e32a7e9dd4066d9aa0fd214ee48d753329b816f36427,1,False,-1.0,1
Sourceforge_232.exe,0,False,1.0,1
23f8abee5663c299b9d06e7fdc2d5bb412c3cde70274ce4734ef4885b4baaa84,1,False,-1.0,1
CNET_104585.exe,0,False,1.0,1
CNET_105041.exe,0,False,1.0,1
euKvl63CY5hkqSZUOV4n,1,False,-1.0,1
FPZgCGuvUcwRXQ3YNH9b,1,False,-1.0,1
CNET_234897.exe,0,False,1.0,1
fd901ccca28dd32c68370eaf942af33607fdbb173e8150aa46111139a1199d72,0,False,1.0,1
aykVQGgubXTA07xcMdI1,1,False,-1.0,1
Sourceforge_3453.exe,0,False,1.0,1
962.exe,0,False,1.0,1
Sourceforge_6990.exe,0,False,1.0,1
4jPxiYkftVRhZEpgrLI2,1,False,-1.0,1
fd5731c9f1144588e7f104d6a383802157025c8415023e9694de37389d88ff1f,1,False,-1.0,1
50f7jCS4w3hED2ueRosN,1,False,-1.0,1
Sourceforge_7830.exe,0,False,1.0,1
1006.exe,0,False,1.0,1
Sourceforge_1705.exe,0,False,1.0,1
72da64f9db05713071302296c6972847128ad213b52a6bdc1f30b887bfd81902,1,False,-1.0,1
3180633c89fcee8e24bfda2371dee2ac714070533d6a5f52655583f48847ee95,1,False,-1.0,1
CNET_103619.exe,0,False,1.0,1
Sourceforge_5327.exe,0,False,1.0,1
1506.exe,0,False,1.0,1
CNET_261384.exe,0,False,1.0,1
cGv8jZ2BnPMdm64VWeRw,1,False,-1.0,1
Gh06DE8T1zeKQ3vxjbpo,1,False,-1.0,1
Sourceforge_824.exe,0,False,1.0,1
514a56beb2f9617a914c7c47fee1b6f31d46d924e8ffa702b7be20ccc48511f4,1,False,-1.0,1
Sourceforge_3666.exe,0,False,1.0,1
2217.exe,0,False,1.0,1
AbLUSYiJdvfPVp6gxn0N,1,False,-1.0,1
59013ec52646efc85fb0ba51e61e68d73cac5bd57a298a0e6066a239c6161cbc,1,False,-1.0,1
CNET_103823.exe,0,False,1.0,1
Sourceforge_1456.exe,0,False,1.0,1
emUFPnYtVzvkxo42iQqE,1,False,-1.0,1
HhDF2X8OmRbwZjBVQPxC,1,False,-1.0,1
Sourceforge_3975.exe,0,False,1.0,1
Sourceforge_2761.exe,0,False,1.0,1
3240bf7ea2f814bf8a3fec63f291232ff772f40185c7b749bab9ecc0afeba119,1,False,-1.0,1
Sourceforge_1920.exe,0,False,1.0,1
